FID,LineAbbr,LineName,tpField00,Div1,Div2,Div3,Div4,TTZeroDir,TTOneDir,tpField01,RevenueNo,DirNum0,DirNum1,tpField020,tpField021,Mode,Shape__Length
1,1,Parx Casino to 54th-City,1,COM,FRA, , ,Parx Casino,54th-City,6,City,0,1,Northbound,Southbound,Bus,98455.0643352973
2,2,20-Johnston to Pulaski-Hunting Park,2,MID,SOU, , ,20th-Johnston,Pulaski-Hunting Park,6,City,0,1,Southbound,Northbound,Bus,32730.2564392005
3,3,33rd-Cecil B. Moore to Frankford TC,3,FRA, , , ,33rd-Cecil B. Moore,Frankford Transportation Center,6,City,0,1,Westbound,Eastbound,Bus,19724.5719269101
4,4,Broad-Pattison to Fern Rock TC,4,MID,SOU, , ,Broad-Pattison,Fern Rock Transportation Center,6,City,0,1,Southbound,Northbound,Bus,30701.7044643334
5,5,2nd-Market to Frankford Transit Ctr,5,FRA, , , ,2nd-Market,Frankford Transportation Center,6,City,0,1,Southbound,Northbound,Bus,36057.8198692338
6,6,Cheltenham-Ogontz to Olney TC,6,ALL, , , ,Olney Transportation Center,Cheltenham-Ogontz,7,City,0,1,Southbound,Northbound,Bus,8082.22856108422
7,7,Pier 70 to 33rd-Dauphin,7,SOU, , , ,Pier 70,33rd-Dauphin,6,City,0,1,Southbound,Northbound,Bus,41741.8730867232
8,8,Olney TC to Frankford TC,8,FRA, , , ,Olney Transportation Center,Frankford Transportation Center,6,City,0,1,Westbound,Eastbound,Bus,15726.5447712219
9,9,4th-Walnut to Andorra,9,ALL, , , ,4th-Walnut,Andorra,6,City,0,1,Southbound,Northbound,Bus,43004.6411078441
10,12,Columbus-Dock to 50th-Woodland,12,SOU, , , ,Columbus-Dock,50th-Woodland,6,City,0,1,Eastbound,Westbound,Bus,36415.8916357523
11,14,FTC to Neshaminy/Oxford Valley,14,COM, , , ,Neshaminy & Oxford Valley Malls,Frankford Transportation Center,11,City,0,1,Northbound,Southbound,Bus,178570.440923917
12,16,City Hall to Cheltenham-Ogontz,16,MID,SOU, , ,City Hall,Cheltenham-Ogontz,6,City,0,1,Southbound,Northbound,Bus,25903.3429059636
13,17,Front-Mkt to 20-Johnston/Broad-Pat,17,SOU, , , ,Penn's Landing,20th-Johnston & Broad-Pattison,6,City,0,1,Northbound,Southbound,Bus,58003.2698202927
14,18,Fox Chase to Cedarbrook Plaza,18,MID, , , ,Fox Chase,Cedarbrook Plaza,11,City,0,1,Eastbound,Westbound,Bus,56971.9189503663
15,19,Torresdale Station to Frankford TC,19,COM,FRA, , ,Torresdale Station,Frankford Transportation Center,6,City,0,1,Northbound,Southbound,Bus,36451.4249801595
16,20,Philadelphia Mills to Frankford TC,20,COM, , , ,Philadelphia Mills,Frankford Transportation Center,6,City,0,1,Northbound,Southbound,Bus,79951.1835880014
17,21,Columbus-Dock to 69th St TC,21,CAL, , , ,Columbus-Dock,69th Street Transportation Center,6,City,0,1,Eastbound,Westbound,Bus,53897.3359208669
18,22,Warminster/Willow Grove to Olney TC,22,MID, , , ,Willow Grove & Warminster,Olney Transportation Center,6,City,0,1,Northbound,Southbound,Bus,48502.0298384379
19,23,11th Market to Chestnut Hill,23,MID,SOU, , ,11th-Market,Chestnut Hill,6,City,0,1,Southbound,Northbound,Bus,28949.1435794372
20,24,Southamptn/Rockldge to Frankford TC,24,COM, , , ,Southampton & Rockledge,Frankford Transportation Center,6,City,0,1,Northbound,Southbound,Bus,36770.6461977456
21,25,Frankford TC to Columbus Commons,25,FRA, , , ,Frankford Transportation Center,Columbus Commons,6,City,0,1,Northbound,Southbound,Bus,39842.8314541489
22,26,Frankford TC to Chelten Av Station,26,MID, , , ,Frankford Transportation Center,Chelten Ave Station,6,City,0,1,Eastbound,Westbound,Bus,41246.6968010222
23,27,Broad-Carpenter to Plymouth Meeting,27,ALL, , , ,Broad-Carpenter,Plymouth Meeting Mall,11,City,0,1,Southbound,Northbound,Bus,66948.2805083492
24,28,Fern Rock TC to Torresdale-Cottman,28,COM, , , ,Fern Rock Transportation Center,Torresdale-Cottman,6,City,0,1,Westbound,Eastbound,Bus,25911.7965453643
25,29,Pier 70 to 33rd-Dickinson,29,SOU, , , ,Pier 70,33rd-Dickinson,6,City,0,1,Eastbound,Westbound,Bus,14179.7161546453
26,30,Gray 30th St Station to 69th St TC,30,CAL, , , ,Amtrak William H. Gray III 30th St Station,69th Street Transportation Center,6,City,0,1,Eastbound,Westbound,Bus,27357.9236148484
27,31,City Hall to 76th-City,31,CAL, , , ,City Hall,76th-City,6,City,0,1,Eastbound,Westbound,Bus,27715.055116829
28,32,Broad-Carpenter to Ridge-Lyceum,32,MID, , , ,Broad-Carpenter,Ridge-Lyceum,6,City,0,1,Southbound,Northbound,Bus,36090.0575280039
29,33,5th-Market to 23rd-Venango,33,ALL, , , ,5th-Market,23rd-Venango,6,City,0,1,Southbound,Northbound,Bus,39288.2400360337
30,35,Manayunk Roxborough Loop,35,MID, , , ,Manayunk Roxborough Loop, ,6,City,0,0,Loop, ,Bus,12694.8694901001
31,37,Chester Transit Ctr to Broad-Snyder,37,SOU, , , ,Chester Transportation Center,Broad-Snyder,6,City,0,1,Westbound,Eastbound,Bus,65631.8772347469
32,38,5th-Market to Wissahickon TC,38,CAL, , , ,5th-Market,Wissahickon Transportation Center,6,City,0,1,Eastbound,Westbound,Bus,59980.6469364804
33,39,Richmond-Cumberland to 33rd-Dauphin,39,MID, , , ,Richmond-Cumberland,33rd-Dauphin,6,City,0,1,Eastbound,Westbound,Bus,21022.1139754155
34,40,2nd-Lombard to Conshohocken-Monumnt,40,CAL, , , ,2nd-Lombard,Conshohocken-Monument,6,City,0,1,Eastbound,Westbound,Bus,34486.3260397384
35,41 (J),J - Cheltn-Wsshkn to Richmnd-Orthdx,706,FRA, , , ,Chelten-Wissahickon,Richmond-Orthodox,6,City,0,1,Westbound,Eastbound,Bus,26991.8818310086
36,42,2nd-Spruce to 61st-Pine/Wycombe,42,CAL, , , ,2nd-Spruce,Wycombe or 61st-Pine,6,City,0,1,Eastbound,Westbound,Bus,24840.3054394086
37,43,Richmond-Cumberland to 50th-Parksde,43,CAL, , , ,Richmond-Cumberland,50th-Parkside,6,City,0,1,Eastbound,Westbound,Bus,25320.3062609529
38,44,Front-Market to Ardmore,44,CAL, , , ,Front-Market,Ardmore,6,City,0,1,Eastbound,Westbound,Bus,123189.999997256
39,45,Broad-Oregon to 12th-Vine,45,MID,SOU, , ,Broad-Oregon,Nobel-12th,6,City,0,1,Southbound,Northbound,Bus,15970.6206875958
40,46,58th-Baltimore to 63rd-Malvern,46,CAL, , , ,58th-Baltimore,63rd-Malvern,6,City,0,1,Southbound,Northbound,Bus,8518.60444663719
41,47,Whitman Plaza to 5th-Godfrey,47,MID,SOU, , ,Whitman Plaza,5th-Godfrey,6,City,0,1,Southbound,Northbound,Bus,37128.3425607866
42,47M,Whitmn Plz to 7th-Spg Grd via 9thSt,471,SOU, , , ,7th-Spring Garden via 9th Street,Whitman Plaza,6,City,0,1,Northbound,Southbound,Bus,16958.7644009889
43,48,Front-Market to 27th-Allegheny,48,ALL, , , ,Front-Market,27th-Allegheny,7,City,0,1,Southbound,Northbound,Bus,21375.6760804625
44,49,33rd-Dauphin to 29th-Snyder,49,ALL, , , ,29th-Snyder,33rd-Dauphin,6,City,0,1,Southbound,Northbound,Bus,23872.2493515489
45,50,Parx to Frankford Transit Center,50,COM, , , ,Parx Casino via Philadelphia Mills,Frankford Transportation Center,6,City,0,1,Northbound,Southbound,Bus,49070.6402180167
46,51 (L),L - PlymthMtg/ChestntHl to Olney TC,710,MID, , , ,Erdenheim or Plymouth Meeting Mall,Olney Transportation Center,6,City,0,1,Northbound,Southbound,Bus,42479.4593394401
47,52,49th-Woodlnd to 54th-City/Parksd Lp,52,CAL, , , ,49th-Woodland,54th-City or 50th-Parkside,6,City,0,1,Southbound,Northbound,Bus,30592.7674769752
48,53,Wayne-Carpenter to Broad-Hunting Pk,53,MID, , , ,Wayne-Carpenter,Broad-Hunting Park or G-Hunting Park,6,City,0,1,Northbound,Southbound,Bus,17277.1625107579
49,54,Richmond-Cambria to 33rd-Dauphin,54,ALL, , , ,Richmond-Cambria,33rd-Dauphin,7,City,0,1,Eastbound,Westbound,Bus,14301.1061789389
50,55,Doylestown/Willow Grove to Olney TC,55,MID, , , ,Willow Grove & Doylestown,Olney Transportation Center,6,City,0,1,Northbound,Southbound,Bus,90374.5734768682
51,56,23rd-Venango to Torresdale-Cottman,56,MID, , , ,23rd-Venango & Bakers Centre,Torresdale-Cottman,6,City,0,1,Westbound,Eastbound,Bus,20851.7069507223
52,57,WhitmnPlz to RisngSun-Olney/FernRck,57,MID,SOU, , ,Whitman Plaza,Rising Sun-Olney & Fern Rock Transportation Center,6,City,0,1,Southbound,Northbound,Bus,45550.6367766592
53,58,Neshaminy/Somerton to Frankford TC,58,COM, , , ,Neshaminy Mall & Somerton,Frankford Transportation Center,6,City,0,1,Northbound,Southbound,Bus,47937.9434486454
54,59,Castor-Bustleton to Arrott TC,59,FRK, , , ,Castor-Bustleton,Arrott Transportation Center,9,City,0,1,Northbound,Southbound,Bus,12458.9616761335
55,60,35th-Allegheny to Rich-Westmoreland,60,ALL, , , ,35th-Allegheny,Richmond-Westmoreland,7,City,0,1,Westbound,Eastbound,Bus,26899.506634728
56,61,9th-Market to Manayunk,61,MID, , , ,9th-Market,Manayunk,6,City,0,1,Southbound,Northbound,Bus,19463.9708908029
57,62,9th-Market to Andorra,62,MID, , , ,9th-Market,Andorra,6,City,0,1,Southbound,Northbound,Bus,43332.7184550643
58,63 (G),G - Lanknau/Overbrk to ColCom/FdCtr,703,SOU, , , ,Overbrook & Lankenau Medical Center,Columbus Commons or Food Distribution Center,6,City,0,1,Northbound,Southbound,Bus,78712.2842287542
59,64,50th-Parkside to Pier 70,64,SOU, , , ,50th-Parkside,Pier 70,6,City,0,1,Westbound,Eastbound,Bus,24240.7857742848
60,65,Germantown-Chelten to 69th St TC,65,CAL, , , ,Germantown-Chelten,69th Street Transportation Center,6,City,0,1,Northbound,Southbound,Bus,26469.3308706406
61,66,Frankford TC to Frankford-Knights,66,FRK, , , ,Frankford Transportation Center,Frankford-Knights,9,City,0,1,Southbound,Northbound,Bus,14092.7285816313
62,67,Phila Mills/Bustletn to Frankfrd TC,67,COM,FRA, , ,Philadelphia Mills & Bustleton,Frankford Transportation Center,6,City,0,1,Northbound,Southbound,Bus,73353.176626945
63,68,Broad-Oregon to UPS/69th St TC,68,SOU, , , ,69th Street Transportation Center via UPS and PNC,Broad-Oregon via PNC and UPS,6,City,0,1,Northbound,Southbound,Bus,81638.2789929985
64,70,Frank-Grg/Torsdl-Cottmn to FernRock,70,COM, , , ,Torresdale-Cottman & Frankford-Gregg,Fern Rock Transportation Center,6,City,0,1,Eastbound,Westbound,Bus,28230.5551182863
65,71 (H),H - Broad-Erie to Cheltenham-Ogontz,801,MID, , , ,Broad-Erie,Cheltenham-Ogontz,6,City,0,1,Southbound,Northbound,Bus,24652.6223510347
66,73,Frankford TC to Richmnd-Westmorelnd,73,FRA, , , ,Frankford Transportation Center,Richmond-Westmoreland,6,City,0,1,Northbound,Southbound,Bus,14242.6801538473
67,75,Wayne Junct to Arrott Transit Ctr,75,FRK, , , ,Wayne Junction,Arrott Transportation Center,9,City,0,1,Westbound,Eastbound,Bus,14551.1220906967
68,77,Roosevelt-Cottman to Chestnut Hill,77,MID, , , ,Roosevelt-St Vincent,Chestnut Hill,6,City,0,1,Eastbound,Westbound,Bus,32807.618758391
69,78,Express Cornwells Hghts to Ctr City,78,COM, , , ,Express Center City,Express Cornwells Heights,6,City,0,1,Southbound,Northbound,Bus,75846.7119786326
70,79,Columbus Commons to 29th-Snyder,79,SOU, , , ,Columbus Commons,29th-Snyder,6,City,0,1,Eastbound,Westbound,Bus,7219.80110403939
71,80,Express Horsham to Olney TC,80,MID, , , ,Express Horsham,Express Olney Transportation Center,7,City,0,1,Northbound,Southbound,Bus,35896.0003465184
72,81 (XH),XH - Broad-Erie to Cheltenham-Ogntz,802,MID, , , ,Broad-Erie,Cheltenham-Ogontz,6,City,0,1,Southbound,Northbound,Bus,20425.7618274376
73,82 (R),R - Wissahckn TC/Henry-Midvl to FTC,712,FRA, , , ,Henry-Midvale or Wissahickon Transportation Center,Frankford Transportation Center,6,City,0,1,Westbound,Eastbound,Bus,31759.9647616763
74,84,Bustletn-CountyLn/PhilaMills to FTC,84,COM, , , ,Philadelphia Mills & Bustleton-County Line,Frankford Transportation Center,6,City,0,1,Northbound,Southbound,Bus,59969.1113000235
75,88,Bethayres/Frankford-Gregg to FTC,88,COM,FRA, , ,Bethayres or Frankford-Gregg,Frankford Transportation Center,6,City,0,1,Northbound,Southbound,Bus,38681.1633767906
76,88S,Huberts 484,881,FRA, , , ,400 Series (Limited Service),400 Series (Limited Service),6,City,0,1,Inbound,Outbound,Bus,59934.3893429598
77,89,Front-Dauphin to Arrott Transit Ctr,89,MID, , , ,Front-Dauphin,Arrott Transportation Center,6,City,0,1,Westbound,Eastbound,Bus,27630.6762525824
78,406,West Phila to 67th-Elmwood,406,SOU, , , ,400 Series (Limited Service),400 Series (Limited Service),6,City,0,0,Inbound, ,Bus,14408.5138851908
79,409,59th-Balitmore to 84th-Crane,409,SOU, , , ,400 Series (Limited Service),400 Series (Limited Service),6,City,0,0,Inbound, ,Bus,11901.3101214688
80,411,74th-Elmwood to 46th-Ludlow,411,CAL,SOU, , ,400 Series (Limited Service),400 Series (Limited Service),6,City,0,1,Outbound,Inbound,Bus,10452.7692967863
81,415,46th-Ludlow to Passyunk-Elmwood,415,CAL,SOU, , ,400 Series (Limited Service),400 Series (Limited Service),6,City,0,1,Outbound,Inbound,Bus,10337.1894747539
82,426,Torresdale-Bridge to 10th-Lycoming,426,FRA,MID, , ,10th-Lycomng,Torrsdl-Brdg,6,City,0,1,Outbound,Inbound,Bus,20494.7468459325
83,428,Richmond-Venango to 10th-Lycomng,428,MID, , , ,10th-Lycomng,Richmnd-Vnango,6,City,0,1,Outbound,Inbound,Bus,12238.9557492416
84,433,Castor-Cottman to 10th-Lycomng,433,FRA,MID, , ,10th-Lycomng,Castr-Cottmn,6,City,0,1,Outbound,Inbound,Bus,26253.951235617
85,438,Germantown to Upper Roxborough,438,ALL,MID,FRA, ,400 Series (Limited Service),400 Series (Limited Service),6,City,0,1,Outbound,Inbound,Bus,13568.2967501913
86,439,Germantown to Roxborough,439,ALL,MID,FRA, ,400 Series (Limited Service),400 Series (Limited Service),6,City,0,1,Outbound,Inbound,Bus,10305.8063555706
87,441,Andorra/Roxborough to Broad-Vine,441,ALL,MID,FRA, ,400 Series (Limited Service),400 Series (Limited Service),6,City,0,1,Outbound,Inbound,Bus,41723.1345151051
